OBJECTID,NBHD_NAME,NBHD_ID,DIST_NUM,Nmbr_Age25Plus_NoDiplomaOrGED,Pct_Age25Plus_NoDiplomaOrGED,Nmbr_Age25Plus_NoCollDegree,Pct_Age25Plus_NoCollDegree,Nmbr_Age25Plus_LessThanBA,Pct_Age25Plus_LessThanBA,Nmbr_PopulationUnder18,Pct_PopulationUnder18,Nmbr_PopulationOver70,Pct_PopulationOver70,Nmbr_Age25Plus,Pct_Age25Plus,Nmbr_OccupiedUnitsWithRenters,Pct_OccupiedUnitsWithRenters,Nmbr_OccupiedUnitsWithOwners,Pct_OccupiedUnitsWithOwners,Nmbr_OccupiedUnits,Nmbr_HouseholdsCostBurdened,Pct_HouseholdsCostBurdened,Nmbr_PerCapitaIncome,Nmbr_PopulationPovDetermined,Nmbr_PopulationInPoverty,Pct_PopulationInPoverty,Nmbr_HouseholdsNoVehAccess,Pct_HouseholdsNoVehAccess,Nmbr_Households,Nmbr_PopulationWithDisability,Pct_PopulationWithDisability,Nmbr_PopCivilianNonInstitution,Nmbr_Population,Nmbr_Under18SingleParentFam,Pct_Under18InSingleParentFam,Nmbr_PopUnder18InHouseholds,Nmbr_PopulationDensity,Nmbr_PopNonHispanicWhite,Pct_PopNonHispanicWhite,Nmbr_PopulationMinority,Pct_PopulationMinority,Pct_PopOver16Unemployed,GlobalID,Shape__Area,Shape__Length
235,Chaffee Park,11,1,480,16.58031088,1566,54.09326425,1680,58.03108808,413,11.78652968,450,12.84246575,2895,82.61986301,671,40.32451923,993,59.67548077,1664,525,31.55048077,44370,3426,269,7.85172212,162,9.73557692,1664,519,15.14886165,3426,3504,147,35.59322034,413,4457.36676741,1561,44.54908676,1943,55.45091324,4,96d2fe8e-a846-43a0-ab05-df6e00866077,21916868.2104492,23530.8275578335
236,Sunnyside,62,1,1328,15.88896865,3771,45.11844939,4130,49.41373534,1684,16.1287233,872,8.35169045,8358,80.04980366,2047,43.49766256,2659,56.50233744,4706,1450,30.81172971,139343,10323,1758,17.02993316,331,7.03357416,4706,1246,12.04795978,10342,10441,806,47.86223278,1684,7333.4138141,4978,47.67742553,5463,52.32257447,4.30507643,005b46dd-0579-4114-b023-aa91640fa22c,39694347.9995117,25642.4769381073
237,Highland,36,1,585,6.48846495,1966,21.80567879,2246,24.91126886,1267,11.26422475,517,4.59637269,9016,80.15647226,3763,62.67488341,2241,37.32511659,6004,1720,28.64756829,227711,11179,793,7.09365775,585,9.74350433,6004,751,6.71555039,11183,11248,361,28.58273951,1263,9756.99905451,8223,73.10633001,3025,26.89366999,3.7234437,e5ffb39e-f1b9-4719-976a-cf7707a2af48,32140439.7265625,23553.956986751
238,Globeville,29,9,732,30.83403538,1605,67.60741365,1705,71.81971356,557,13.90761548,192,4.79400749,2374,59.27590512,722,52.93255132,642,47.06744868,1364,526,38.56304985,33169,3508,835,23.8027366,99,7.25806452,1364,340,8.48938826,4005,4005,166,29.80251346,557,1944.41237977,1449,36.17977528,2556,63.82022472,7.3,2de51526-42a4-43da-92b6-909ea2cce4e6,57425781.2587891,42152.1172194939
239,Jefferson Park,39,1,335,10.4556804,749,23.37702871,820,25.59300874,296,7.7997365,153,4.03162055,3204,84.42687747,1599,70.94055013,655,29.05944987,2254,619,27.46228926,86954,3726,488,13.09715513,86,3.81543922,2254,230,6.06060606,3795,3795,98,33.10810811,296,7714.45702204,2400,63.24110672,1395,36.75889328,3.9,b31e5c61-7836-4c60-8261-529c990a4616,13715106.5385742,17949.0266822545
240,Sun Valley,61,3,161,33.96624473,425,89.66244726,425,89.66244726,613,54.10414828,31,2.73609885,474,41.83583407,347,90.60052219,36,9.39947781,383,150,39.16449086,7970,1133,880,77.66990291,179,46.73629243,383,151,13.32744925,1133,1133,484,78.95595432,613,1764.03377901,88,7.76699029,1045,92.23300971,31,3fbf82aa-e2a0-48bc-bba2-9c8d7543e6c3,17906709.2558594,21013.695548962
241,Valverde,67,7,806,28.63232682,2319,82.38010657,2415,85.79040853,1101,25.64640112,279,6.49895178,2815,65.57186117,885,57.57970072,652,42.42029928,1537,706,45.93363696,20687,4293,850,19.79967389,115,7.482108,1537,413,9.62031214,4293,4293,294,26.70299728,1101,4471.65960028,818,19.0542744,3475,80.9457256,3,51e99945-9f4a-4fef-9bc3-863cc5b98ee4,26766089.2617188,22063.817180862
242,Athmar Park,1,7,1499,24.1696227,4217,67.99419542,4617,74.44372783,2062,23.29417081,554,6.25847266,6202,70.06326254,1223,37.51533742,2037,62.48466258,3260,1407,43.1595092,59998,8839,1459,16.50639213,261,8.00613497,3260,593,6.71498132,8831,8852,784,38.02133851,2062,5727.51482667,2815,31.800723,6037,68.199277,7.34557452,a3a6da3f-a202-43cc-9325-a46ee5a57698,43089152.5332031,27352.2864055353
243,Elyria Swansea,25,9,1752,44.65969921,3358,85.59775682,3463,88.27427989,2127,31.68951132,231,3.44159714,3923,58.44755662,1051,56.17316943,820,43.82683057,1871,725,38.74933191,41126,6646,1170,17.60457418,144,7.69641903,1871,497,7.4501574,6671,6712,523,24.58862247,2127,2587.09796813,764,11.38259833,5948,88.61740167,3.40747911,f61b681d-c4fe-4270-8407-45cc0aea2ce9,72332227.9672852,35030.3983479008
244,Wellshire,73,4,48,2.00250313,483,20.15018773,541,22.56987902,747,22.46616541,603,18.13533835,2397,72.09022556,84,6.46153846,1216,93.53846154,1300,299,23,72657,3325,105,3.15789474,9,0.69230769,1300,258,7.7593985,3325,3325,85,11.37884873,747,3581.1066996,2739,82.37593985,586,17.62406015,1,1df3a241-2f6d-4ac5-a80b-7a3cae4b17b8,25886131.7963867,21790.4506615066
245,University,64,6,77,1.34945671,1311,22.97581493,1718,30.10865755,997,10.04837734,373,3.75932272,5706,57.50856682,1684,46.5965689,1930,53.4034311,3614,1162,32.15273935,98144,7832,856,10.92951992,146,4.03984505,3614,389,3.92058053,9922,9922,261,26.85185185,972,7962.35768892,7631,76.9098972,2291,23.0901028,6.1353877,f3f0dc56-1a9b-4076-8332-c452eecc1426,34741639.4521484,27982.5662698074
246,Rosedale,53,6,82,3.650935,653,29.07390917,810,36.06411398,361,13.30630299,262,9.65720604,2246,82.78658312,730,52.14285714,670,47.85714286,1400,454,32.42857143,54712,2713,204,7.51935127,149,10.64285714,1400,183,6.74530041,2713,2713,42,11.63434903,361,4813.1979818,1911,70.43862882,802,29.56137118,4.4,81977e43-9945-4e78-a09b-092df500b3fa,15714799.2436523,15839.834045747
247,Cheesman Park,12,10,29,0.35842294,1618,19.99752812,2070,25.5839822,347,3.87796156,747,8.34823424,8091,90.42244077,4016,72.50406211,1523,27.49593789,5539,1957,35.33128724,191628,8860,749,8.4537246,777,14.02780285,5539,613,6.91873589,8860,8948,178,53.77643505,331,16990.59115742,7711,86.17568172,1237,13.82431828,6.12029019,3bf6668f-9a07-47e9-9b77-a39937620fd9,14682846.3876953,15276.3436533484
248,Hilltop,37,5,159,2.49607535,967,15.18053375,1144,17.95918367,2151,24.20661715,1211,13.62817916,6370,71.68579788,983,27.04264099,2652,72.95735901,3635,865,23.79642366,209959,8766,316,3.60483687,126,3.46629986,3635,763,8.70309114,8767,8886,97,4.50953045,2151,5156.74607938,6847,77.05379248,2039,22.94620752,4.25401586,5ead6d2c-9677-4711-aa9f-bab1e3320fa6,48042249.1625977,33930.1190905052
249,Montclair,46,5,251,4.9910519,1334,26.52614834,1526,30.34400477,1073,17.01284287,371,5.88235294,5029,79.73680038,819,26.48771022,2273,73.51228978,3092,964,31.17723157,131344,6307,347,5.50182337,81,2.61966365,3092,352,5.58110036,6307,6307,347,32.33923579,1073,6229.80070048,4287,67.9720945,2020,32.0279055,4.05836576,b849a0cb-27c0-4f70-b8a5-4db71f238c74,28225487.2109375,21466.5426748702
250,Hale,31,5,341,5.11014536,2064,30.93061591,2560,38.36355462,1493,17.15303309,601,6.90487132,6673,76.66590074,2681,58.35872878,1913,41.64127122,4594,1916,41.70657379,163896,8664,636,7.34072022,382,8.31519373,4594,824,9.51061865,8664,8704,578,38.71399866,1493,8944.91570611,6174,70.93290441,2530,29.06709559,1.49524201,a679f9ac-6240-49c8-a1ac-e329e3c55ee4,27129100.8193359,20906.6895460375
