OBJECTID,GEOID,NAME,Hsn__,H___P,Prcn_,Pr__P,Pr_____,P______,Prcnt_ln_,Prcnt_ln__,Prcnt_lw_,Prcnt_lw__,Prc___,Prc____P,Dmg_S,Ast__,As___P,Cncr_,Cn__P,Dbts_,Db__P,Hr___,H____,Lf_xp,Lf__P,Lw_b_,Lw___P,Mnt__,M___P,Pp__64,P__64_,Pp__5,P__5_,Sn_P_S,Hl__S_F_S,Ar_t_,Ar___P,Ds____PM_,D____PM__,Drn__,D___P,Ld_x_,Ld___P,Noise,Ns_Pr,Oth__,O___P,Ozone,Ozn_P,Fn_p_,F___P,Tr____,T_____,Envrnmntl_,Prxmty_t_h,Prxmty_t_1,Prx___,Prx____P,Pr__N_P_L_,P__N_P_L__,Prxmty_t_l,Prxmty_t_2,Pr__R_M_P_,P__R_M_P__,Im___,I____,Wst__,W___P,Envrnmnt_1,Drght,Drg_P,Fldpl,Fld_P,Ext__,E___P,Wldf_,Wl__P,Cl_V_S,Pl__C_B_S,EnS_S,Envrnmnt_2,Envrnmnt_3,C_V_S_,S_P_S_,D_S_P,P__C_B_S_P,H__S_F_S_P,ES_S_,Shape__Area,Shape__Length
1,08109,Saguache,0.252360794529469,20.3125,0.152838427947598,68.75,0.115486635380535,81.25,0.040052100293064,81.3559322033898,0.436672378875214,89.0625,0.416950728230555,78.125,63.2832728059978,51.021,94.6428571428571,42.1875,29.6875,84.375,84.375,54.6875,48.4375,82.6,8.06451612903226,11.93,80.6451612903226,19,85.9375,0.25612023551286,82.8125,0.047412457390765,54.6875,52.2580698646966,57.7706713353472,0,0,0.014608049192863,23.4375,15.6862745098039,15.6862745098039,0.265641569459173,56.25,29.4536028594492,7.8125,0.050071618441919,51.6129032258064,48.4324931506849,57.8125,4.53412191780822,9.375,10390.0267764333,9.375,21.3001803474017,0,0,0.688737777935445,30.1587301587302,0.001991319123999,10.7142857142857,0,0,0.604034738925167,82.051282051282,88.0952380952381,63.4920634920635,10456.9503269145,87.0967741935484,42.9770529714493,56.7049808429119,81.25,0,0,34.5,84.375,79.0056822721986,23.4375,54.3645937279594,34.985501848553,40.103788225871,12.5,60.9375,78.125,73.4375,81.25,34.375,81.25,62.5,0.843148725927222,4.39184276218802
2,08115,Sedgwick,0.289799809342231,56.25,0.192878338278932,89.0625,0.086728754365541,53.125,0.01906577693041,55.9322033898305,0.369224247562526,79.6875,0.243831033040569,57.8125,63.9781540526169,40.266,83.9285714285714,63.28125,81.25,88.28125,89.0625,89.84375,92.1875,76.1,100,8.434,20.9677419354839,18.7,78.125,0.251359263906315,81.25,0.079464659138436,98.4375,74.8059590798329,69.3920565662249,0,0,0.057576388498857,78.125,74.5098039215686,74.5098039215686,0.602761982128351,100,36.9795067481068,90.625,0.001857276171269,11.2903225806452,42.1170630136986,1.5625,6.08003835616438,62.5,33088.5293102844,31.25,34.0752056649701,0,0,0.023780010413864,4.76190476190476,0,0,1.23483949328699,13.953488372093,0.030752359793108,25.6410256410256,30.1587301587302,9.52380952380952,10541.5051496091,88.7096774193548,17.0465351680457,40.6130268199234,31.25,2.19753006476976,100,29,54.6875,24.4593431367526,7.8125,33.9924158105399,29.7973405771315,41.0276970078169,34.375,6.25,39.0625,98.4375,82.8125,20.3125,96.875,64.0625,0.152011002453037,1.70754546539818
3,08017,Cheyenne,0.141891891891892,3.125,0.112299465240642,40.625,0.070204081632653,43.75,0.027027027027027,67.7966101694915,0.270944741532977,43.75,0.200463499420626,34.375,28.7634979296586,0,0,82.03125,98.4375,56.25,57.8125,67.1875,73.4375,89.5,1.61290322580645,7.595,11.2903225806452,17.2,48.4375,0.200463499420626,57.8125,0.068366164542294,90.625,34.3347029973213,31.5491004634899,0.098986180194284,44,0.020237867721639,35.9375,84.3137254901961,84.3137254901961,0.413828689370485,82.8125,35.3377890233663,75,0.023544043886872,37.0967741935484,43.5226767123288,10.9375,6.11701369863014,64.0625,19806.0378578856,20.3125,42.3391308993535,0,0,0.099406406890348,6.34920634920635,0,0,27.8901528683489,55.8139534883721,0.487960490730983,76.9230769230769,134.126984126984,98.4126984126984,5.67895295895253,17.741935483871,34.3173862070935,50.1915708812261,68.75,0,0,24.25,31.25,17.8489200676241,4.6875,21.595072593785,35.1476801498964,22.0025756304248,57.8125,46.875,12.5,34.375,29.6875,35.9375,32.8125,28.125,0.478627643633445,3.11127004615321
4,08027,Custer,0.224667583677212,9.375,0.141509433962264,59.375,0.030631106416689,17.1875,0,0,0.334700574241181,64.0625,0.128761514841351,9.375,22.4839470508185,20.96,50,60.15625,71.875,38.28125,39.0625,52.34375,46.875,82.7,6.45161290322581,13.402,88.7096774193548,16.8,35.9375,0.296622313203685,92.1875,0.016376663254862,1.5625,29.9680656665387,26.2260063586786,0,0,0.008684378098378,6.25,9.80392156862745,9.80392156862745,0.154213416089759,39.0625,31.2157432944398,35.9375,0.006988569856217,24.1935483870968,48.7101136986301,67.1875,4.69860273972603,18.75,173.034750495396,1.5625,15.9055846175157,0,0,5.98236052276879,57.1428571428571,0,0,0.251055438155572,9.30232558139535,0,0,101.587301587302,90.4761904761905,4.037333e-08,1.61290322580645,16.6887583400068,36.7816091954023,25,0,0,33.75,76.5625,445.463434112949,70.3125,51.2463436812521,24.9365678140726,12.9765342231916,6.25,4.6875,70.3125,21.875,18.75,1.5625,21.875,6.25,0.196859179422972,2.36450206082872
5,08067,La Plata,0.29804768410383,59.375,0.101475350845628,31.25,0.041645002352126,25,0.001674672777753,6.77966101694915,0.250706305973594,35.9375,0.232856402836575,46.875,28.4456019985254,17.989,39.2857142857143,61.71875,76.5625,23.4375,23.4375,36.71875,34.375,82.1166666666667,17.741935483871,9.004,41.9354838709677,16.2,25,0.190182734044263,50,0.044370612507368,40.625,35.5876226556237,32.0166123270745,0.388408875556465,60,0.027325008243604,51.5625,50.9803921568627,50.9803921568627,0.151241455034888,35.9375,31.2684076268989,37.5,0.798632431041861,77.4193548387097,48.1060566210046,51.5625,4.86871438356164,28.125,183964.433115871,78.125,49.7423105777246,0,0,15.4755749169573,71.4285714285714,0,0,1262.90939169309,86.046511627907,0.036508406915213,30.7692307692308,63.4920634920635,34.9206349206349,8.52240025883522,19.3548387096774,41.8137108757196,70.4980842911877,100,0.212048723008779,55.8823529411765,28.75,53.125,787.424769381097,84.375,70.7451795576185,53.0108778971968,33.6767559563036,75,57.8125,87.5,39.0625,26.5625,79.6875,34.375,53.125,0.447277697848676,3.0228193688731
6,08111,San Juan,0.281899109792285,43.75,0.06231884057971,4.6875,0.043478260869565,28.125,0.017804154302671,50.8474576271186,0.33768115942029,65.625,0.215942028985507,42.1875,30.5437509453079,0,0,42.1875,29.6875,28.90625,29.6875,55.46875,53.125,0,0,27.273,100,17.2,48.4375,0.240579710144928,76.5625,0.023188405797101,3.125,34.158528152563,32.3511395489354,0,0,0.00671193717061,4.6875,0,0,0.355281207133059,73.4375,31.7055957743334,46.875,0,0,49.2835178082192,76.5625,4.41057260273973,4.6875,6972.54110492991,6.25,18.1874986847989,0,0,0.014236200703154,3.17460317460317,0.087600519758722,50,0,0,0,0,66.6666666666667,39.6825396825397,51.3313159563275,32.258064516129,21.2311883914571,41.7624521072797,34.375,0,0,32.5,70.3125,194.926266947002,51.5625,49.9501048484349,26.8890726523724,17.2605759631529,10.9375,12.5,67.1875,32.8125,32.8125,4.6875,35.9375,17.1875,0.102833643399663,1.7166406564813
7,08097,Pitkin,0.3675129405965,98.4375,0.089389030317056,21.875,0.018297651677902,6.25,0.027236874537836,69.4915254237288,0.156431054461182,6.25,0.18955266955267,31.25,23.8199999609607,4.19,8.92857142857143,50,43.75,3.90625,1.5625,3.90625,1.5625,82.3666666666667,9.67741935483871,11.343,74.1935483870968,14.8,6.25,0.202886002886003,59.375,0.046580086580087,48.4375,13.2169835647975,18.5184917628791,0.052131960821775,32,0.014500407884048,21.875,0,0,0.039473684210526,6.25,31.2766234798901,39.0625,0.043495537099539,46.7741935483871,49.7433598173516,84.375,4.90627077625571,31.25,124207.628310601,67.1875,33.0283658221085,0,0,5.70598588276742,55.5555555555556,0,0,0,0,0,0,1.58730158730159,1.58730158730159,86.2707208216143,38.7096774193548,15.0568976827665,42.5287356321839,39.0625,0.194298096275068,50,35.25,87.5,269.62863340564,56.25,55.6820421469419,34.1989178684814,12.566312418799,28.125,3.125,79.6875,3.125,20.3125,32.8125,6.25,3.125,0.262895373444735,2.99758279312474
8,08093,Park,0.252341311134235,18.75,0.113250671390206,43.75,0.024400564174894,10.9375,0.002211238293444,8.47457627118644,0.176730570542992,9.375,0.122236744899699,7.8125,13.3136187352552,14.935,28.5714285714286,60.15625,71.875,21.875,17.1875,21.875,17.1875,80.2666666666667,46.7741935483871,11.842,79.0322580645161,17.5,57.8125,0.219526055577655,70.3125,0.033983065295221,18.75,38.1436622768449,25.72864050605,0,0,0.011622950658315,14.0625,25.4901960784314,25.4901960784314,0.069164671080434,10.9375,31.531873385488,45.3125,0.030543789170089,40.3225806451613,50.9396077625571,95.3125,5.02876392694064,32.8125,20227.4395406454,21.875,28.9255862996353,0,0,8.10506272653043,61.9047619047619,0.024191331280256,39.2857142857143,0,0,0,0,63.4920634920635,34.9206349206349,19.3017603214978,20.9677419354839,36.5298699759714,28.3524904214559,14.0625,0,0,32.5,70.3125,327.337476440324,64.0625,39.8626640303737,33.5609266514039,17.1332857572141,21.875,51.5625,48.4375,43.75,4.6875,31.25,18.75,15.625,0.596270781632938,3.7923077759729
9,08003,Alamosa,0.264410446607943,34.375,0.157930649463433,73.4375,0.101866014071582,70.3125,0.019935095039407,59.3220338983051,0.404728253886676,85.9375,0.543134872417983,96.875,66.6500683394107,16.58,32.1428571428571,35.15625,10.9375,84.375,84.375,77.34375,81.25,77.62,90.3225806451613,11.74,75.8064516129032,19.6,90.625,0.14501822600243,18.75,0.058748481166464,76.5625,50.5282408127427,58.5891545760767,0.219988003980433,56,0.047097309250434,76.5625,45.0980392156863,45.0980392156863,0.21089779785432,48.4375,28.7196375253577,3.125,0.065794755386079,59.6774193548387,47.9395594520548,48.4375,5.13745753424658,35.9375,175258.717177007,75,39.385168941734,0,0,6.90659015132362,58.7301587301587,0,0,0,0,0.033060563248231,28.2051282051282,50,20.6349206349206,1192.13397879068,58.0645161290323,37.5340749355655,47.5095785440613,59.375,0,0,33.25,73.4375,47.3417908705296,17.1875,42.1610488051715,39.6163654060513,46.0555248565592,46.875,53.125,53.125,68.75,85.9375,48.4375,82.8125,71.875,0.191063930146811,1.8356252995526
10,08099,Prowers,0.284446416685156,46.875,0.175441561734133,82.8125,0.145167705157099,92.1875,0.043044153538939,84.7457627118644,0.422887718995426,87.5,0.435411096256685,82.8125,77.6822612998035,28.579,71.4285714285714,60.9375,75,89.0625,92.1875,82.8125,89.0625,78.86,72.5806451612903,11.186,70.9677419354839,20.3,96.875,0.180147058823529,40.625,0.066176470588235,89.0625,75.4683159274607,76.5752886136321,0.506203822019308,64,0.040350365420917,70.3125,100,100,0.374931481819843,76.5625,34.6414508157077,67.1875,0.094370364056894,61.2903225806452,42.8607994520548,4.6875,6.20823178082192,75,144815.708361339,73.4375,53.6184656283277,0,0,17.535993239537,76.1904761904762,0,0,4.54371571510218,41.8604651162791,0.215234085318433,53.8461538461538,100,88.8888888888889,47.2371879280708,30.6451612903226,54.201806673184,57.8544061302682,82.8125,0.211893570868481,52.9411764705882,20.75,4.6875,75.561402307508,21.875,25.8937354452214,46.8331183437652,71.1592880130366,78.125,73.4375,20.3125,100,98.4375,71.875,100,96.875,0.436577953222468,2.65950729311872
